"01.03.2026",,,,,,,,,,
"02.03.2026",,,,,,,,,,
"03.03.2026",4,"Быт. 13-16",2,"Рим. 4; Флп. 2 ",1,"Верный Свидетель Божий для свидетельства Иисуса, 1",,,,
"04.03.2026",,,1,"Флп. 3",,,,,,
"05.03.2026",,,1,"Флп. 4",,,,,,
"06.03.2026",4,"Быт. 17-20",,,,,,,,
"07.03.2026",4,"Быт. 21-24",,,,,,,,
"08.03.2026",1,"Быт. 25",,,,,,,,
"09.03.2026",,,,,,,,,,
"10.03.2026",,,,,,,,,,
"11.03.2026",,,1,"Кол. 1",,,2,"Уроки истины, уровень 1, том 1, 1; Уроки жизни, том 3, 4",,
"12.03.2026",,,1,"Кол. 2",,,,,,
"12.03.2026",,,1,"Кол. 3",,,,,,
"13.03.2026",,,1,"Кол. 4",,,,,,
"14.03.2026",,,1,"1 Фес. 1",,,,,,
"15.03.2026",,,1,"1 Фес. 2",,,,,,
